person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
21,female,High School,$12.282,0,OWN,$1.000,EDUCATION,"11,14","8,00%",2,504,No,0
23,female,Bachelor,$79.753,0,RENT,$35.000,MEDICAL,"15,23","44,00%",2,675,No,1
21,female,High School,$12.951,0,OWN,$2.500,VENTURE,"7,14","19,00%",2,532,No,1
24,female,Associate,$100.684,3,RENT,$35.000,PERSONAL,"8,9","35,00%",2,544,No,1
21,female,Associate,$13.113,0,OWN,$4.500,HOMEIMPROVEMENT,"8,63","34,00%",2,651,No,1
23,male,Bachelor,$114.860,3,RENT,$35.000,VENTURE,"7,9","30,00%",2,573,No,1
24,female,Master,$14.283,1,MORTGAGE,$1.750,EDUCATION,"10,99","12,00%",2,679,No,1
25,male,High School,$165.792,4,RENT,$34.800,PERSONAL,"16,77","21,00%",2,662,No,0
21,female,Bachelor,$14.988,0,OTHER,$4.000,EDUCATION,"12,84","27,00%",2,553,No,1
25,male,Bachelor,$144.855,1,RENT,$32.000,VENTURE,"6,62","22,00%",2,586,Yes,0
22,female,Bachelor,$58.868,0,RENT,$30.000,EDUCATION,"18,39","51,00%",2,606,No,1
26,male,Bachelor,$75.503,5,RENT,$30.000,MEDICAL,"17,99","40,00%",2,616,No,1
23,male,High School,$361.547,0,OWN,$24.250,EDUCATION,"19,41","7,00%",2,637,Yes,0
23,female,Associate,$117.250,0,RENT,$30.000,VENTURE,"10,65","26,00%",2,652,No,1
22,female,Bachelor,$331.034,0,OWN,$12.000,VENTURE,"11,58","4,00%",2,602,Yes,0
25,female,Associate,$267.671,0,MORTGAGE,$25.000,MEDICAL,"15,7","9,00%",2,582,No,1
25,female,Bachelor,$311.952,0,MORTGAGE,$20.000,HOMEIMPROVEMENT,"14,42","6,00%",2,661,Yes,0
24,male,High School,$306.897,5,MORTGAGE,$9.600,EDUCATION,"6,99","3,00%",2,562,Yes,0
22,male,Associate,$69.042,0,RENT,$28.000,MEDICAL,"11,01","41,00%",2,598,No,1
23,female,Associate,$79.183,0,RENT,$28.000,EDUCATION,"7,9","35,00%",2,677,No,1
22,male,Bachelor,$15.432,3,OWN,$4.750,DEBTCONSOLIDATION,"7,14","31,00%",2,601,No,1
26,male,Associate,$133.372,1,RENT,$28.000,EDUCATION,"8,9","21,00%",2,538,Yes,0
23,male,Associate,$182.316,0,RENT,$28.000,DEBTCONSOLIDATION,"11,11","15,00%",2,634,Yes,0
24,female,Bachelor,$83.853,3,RENT,$27.600,HOMEIMPROVEMENT,"11,01","33,00%",2,690,No,1
22,male,Associate,$288.907,2,OWN,$25.000,PERSONAL,"11,01","9,00%",2,617,Yes,0
26,male,Associate,$89.074,4,RENT,$27.050,VENTURE,"15,62","30,00%",2,668,No,1
24,male,Master,$100.509,2,RENT,$27.000,PERSONAL,"13,49","27,00%",2,673,No,1
23,female,High School,$75.894,1,RENT,$26.000,MEDICAL,"11,71","34,00%",2,536,No,1
26,male,High School,$279.664,3,MORTGAGE,$25.000,MEDICAL,"14,17","9,00%",2,642,Yes,0
25,female,Bachelor,$271.324,3,MORTGAGE,$30.000,HOMEIMPROVEMENT,"19,91","11,00%",2,637,Yes,0
26,male,Associate,$256.862,2,MORTGAGE,$35.000,EDUCATION,"10,65","14,00%",2,643,No,1
23,male,High School,$16.599,0,OWN,$2.400,DEBTCONSOLIDATION,"13,49","14,00%",2,505,No,1
22,male,Bachelor,$51.608,0,RENT,$25.000,MEDICAL,"14,59","48,00%",2,593,No,1
21,male,High School,$59.864,0,RENT,$25.000,EDUCATION,"10,99","42,00%",2,648,No,1
25,male,Master,$270.972,1,MORTGAGE,$25.000,VENTURE,"18,67","9,00%",2,640,Yes,0
23,female,Associate,$270.729,0,RENT,$7.500,DEBTCONSOLIDATION,"8,63","3,00%",2,646,No,0
26,male,Bachelor,$270.877,4,MORTGAGE,$25.000,VENTURE,"10,08","9,00%",2,615,Yes,0
25,male,Bachelor,$60.829,0,RENT,$25.000,HOMEIMPROVEMENT,"5,99","41,00%",2,588,No,1
24,male,Bachelor,$53.825,2,RENT,$25.000,DEBTCONSOLIDATION,"15,33","46,00%",2,652,No,1
22,male,High School,$60.747,0,RENT,$25.000,VENTURE,"10,36","41,00%",2,634,No,1
24,female,Master,$265.066,4,MORTGAGE,$25.000,EDUCATION,"11,58","9,00%",2,665,Yes,0
26,female,Bachelor,$260.444,4,MORTGAGE,$20.000,EDUCATION,"14,22","8,00%",2,594,No,0
26,male,High School,$259.081,2,MORTGAGE,$12.000,EDUCATION,"7,88","5,00%",2,626,Yes,0
23,male,High School,$63.497,0,RENT,$25.000,PERSONAL,"13,22","39,00%",2,695,No,1
26,female,High School,$57.856,0,RENT,$25.000,HOMEIMPROVEMENT,"15,28","43,00%",2,602,No,1
23,male,Associate,$57.318,0,RENT,$25.000,VENTURE,"17,93","44,00%",2,679,No,1
26,male,Bachelor,$58.602,8,RENT,$25.000,VENTURE,"18,43","43,00%",2,595,No,1
26,male,Associate,$68.066,2,RENT,$25.000,DEBTCONSOLIDATION,"12,87","37,00%",2,637,No,1
26,female,Master,$65.880,2,RENT,$25.000,DEBTCONSOLIDATION,"14,83","38,00%",2,592,No,1
24,male,Bachelor,$241.180,3,RENT,$12.000,MEDICAL,"12,69","5,00%",2,634,No,0
24,male,Associate,$240.894,3,MORTGAGE,$12.000,HOMEIMPROVEMENT,"13,49","5,00%",2,678,No,0
25,male,High School,$75.504,4,RENT,$25.000,MEDICAL,"12,73","33,00%",2,484,No,1
23,female,Bachelor,$241.167,2,MORTGAGE,$28.000,EDUCATION,"11,01","12,00%",2,653,Yes,0
21,male,Bachelor,$241.060,0,MORTGAGE,$25.000,DEBTCONSOLIDATION,"13,99","10,00%",2,699,No,0
25,male,High School,$240.895,2,MORTGAGE,$15.500,DEBTCONSOLIDATION,"11,99","6,00%",2,659,No,0
24,male,Associate,$80.145,1,RENT,$25.000,EDUCATION,"9,91","31,00%",2,636,No,1
NULL,male,Associate,$241.424,NULL,MORTGAGE,$6.000,EDUCATION,"11,86","2,00%",2,807,No,0
25,female,Master,$240.768,2,MORTGAGE,$12.000,VENTURE,"10,38","5,00%",2,669,Yes,0
24,female,Master,$72.919,1,RENT,$25.000,DEBTCONSOLIDATION,"11,01","34,00%",2,553,No,1
26,female,Associate,$81.238,3,RENT,$25.000,PERSONAL,"15,21","31,00%",2,531,No,1
25,female,High School,$83.901,3,RENT,$25.000,PERSONAL,"17,49","30,00%",2,597,No,1
26,female,Associate,$226.744,0,MORTGAGE,$20.000,VENTURE,"17,74","9,00%",2,621,No,1
25,female,High School,$80.001,4,RENT,$25.000,VENTURE,"15,33","31,00%",2,592,No,1
25,male,High School,$18.449,1,OWN,$5.375,EDUCATION,"5,79","29,00%",2,645,No,1
25,male,Associate,$88.153,0,RENT,$25.000,MEDICAL,"13,11","28,00%",2,669,No,1
25,male,Bachelor,$90.938,1,RENT,$25.000,DEBTCONSOLIDATION,"10,36","27,00%",2,577,No,1
24,male,High School,$231.335,0,RENT,$22.000,MEDICAL,"11,01","10,00%",2,668,Yes,0
23,male,High School,$94.789,1,RENT,$25.000,DEBTCONSOLIDATION,"11,01","26,00%",2,548,No,1
24,male,High School,$222.629,0,MORTGAGE,$35.000,EDUCATION,"12,42","16,00%",2,623,No,0
25,female,Bachelor,$222.973,2,RENT,$15.000,VENTURE,"15,27","7,00%",2,652,Yes,0
24,female,High School,$75.240,1,RENT,$25.000,MEDICAL,"15,33","33,00%",2,625,No,1
23,female,High School,$96.143,1,RENT,$25.000,VENTURE,"15,21","26,00%",2,642,No,1
21,male,Bachelor,$18.064,0,OWN,$6.250,VENTURE,"14,72","35,00%",2,580,No,1
24,male,Associate,$96.627,2,RENT,$25.000,PERSONAL,"15,7","26,00%",2,622,No,1
24,male,Master,$96.836,1,RENT,$25.000,EDUCATION,"6,62","26,00%",2,583,No,1
22,female,Associate,$222.975,2,RENT,$25.000,MEDICAL,"11,36","11,00%",2,593,Yes,0
26,male,Associate,$222.985,3,OWN,$5.000,PERSONAL,"7,68","2,00%",2,659,Yes,0
23,male,Associate,$221.559,2,OWN,$2.500,EDUCATION,"11,83","1,00%",2,583,Yes,0
22,male,High School,$220.518,0,MORTGAGE,$1.000,EDUCATION,"11,01","0,00%",2,551,Yes,0
24,male,High School,$99.435,3,RENT,$25.000,VENTURE,"10,25","25,00%",2,666,No,0
23,male,Master,$18.512,1,OWN,$4.000,HOMEIMPROVEMENT,"16,7","22,00%",2,566,No,1
24,male,Bachelor,$217.134,2,MORTGAGE,$14.000,VENTURE,"11,99","6,00%",2,598,Yes,0
23,male,Associate,$80.452,2,RENT,$25.000,MEDICAL,"15,37","31,00%",2,699,No,1
21,male,Associate,$18.916,0,OWN,$6.200,HOMEIMPROVEMENT,"7,9","33,00%",2,615,No,1
